uid,sen_ratio,label
5d6386734285a7c331825931,0.0024691358024691358,-1
5d648f867d7dbe4bc487d68e,0.0,1
5d648fa17d7dbe4bc4881f82,0.0,1
5d648d8d7d7dbe4bc481c159,0.0,1
5d648f147d7dbe4bc4868b6e,0.0024691358024691358,0
5d648e0a7d7dbe4bc4837d15,0.0,1
5d636b734285a7c3317c35fb,0.0002244668911335578,-1
5d648fef7d7dbe4bc488f669,0.0002244668911335578,1
5d648edd7d7dbe4bc485f1bf,0.006958473625140292,-1
5d648ef77d7dbe4bc4863a09,0.0,-1
5d6388634285a7c33182a682,0.0002244668911335578,41
5d6490577d7dbe4bc48a3238,0.007407407407407408,-1
5d6490737d7dbe4bc48a7a87,0.0,1
5d648f247d7dbe4bc486b889,0.0006734006734006734,1
5d6490657d7dbe4bc48a53cb,0.0,1
5d648ee87d7dbe4bc486101e,0.0,-1
5d648f2d7d7dbe4bc486d4d5,0.0,1
5d75152add07cce828f874df,0.13692480359147025,2
5d63ce8a4285a7c3318b6f35,0.0,13
5d64902b7d7dbe4bc489903f,0.0004489337822671156,11
5d648fa27d7dbe4bc48821e9,0.0053872053872053875,-1
5d648f7c7d7dbe4bc487bb80,0.0,-1
5d6490287d7dbe4bc48988dd,0.0017957351290684624,-1
5d63ae474285a7c331885b46,0.0002244668911335578,1
5d648dbb7d7dbe4bc48266e5,0.0,18
5d648efb7d7dbe4bc4864410,0.0015712682379349046,-1
5d648cd77d7dbe4bc47f25ca,0.0,1
5d648d807d7dbe4bc4818eec,0.0008978675645342312,-1
5d648d8b7d7dbe4bc481ba5b,0.0,1
5d63ba3c4285a7c33189d9b2,0.0,1
5d6360474285a7c33176f0eb,0.021099887766554432,-1
5d648f3a7d7dbe4bc486fd4f,0.0,1
5d6364f14285a7c331796ec8,0.0015712682379349046,1
5d636ec54285a7c3317ceb1c,0.0015712682379349046,-1
5d63603a4285a7c33176ef7d,0.0006734006734006734,-1
5d648e087d7dbe4bc4837382,0.0,1
5d6369db4285a7c3317b9096,0.041301907968574636,-1
5d648dee7d7dbe4bc48326d5,0.0,1
5d64908b7d7dbe4bc48ac04d,0.0,1
5d6490727d7dbe4bc48a7659,0.009652076318742986,12
5d648d237d7dbe4bc48042ba,0.004489337822671156,-1
5d6388664285a7c33182a687,0.0006734006734006734,12
5d648f717d7dbe4bc4879e50,0.0,-1
5d638cfd4285a7c331837f79,0.0,1
5d648f777d7dbe4bc487ad03,0.0008978675645342312,-1
5d648f5f7d7dbe4bc4876543,0.007407407407407408,-1
5d648f777d7dbe4bc487ad32,0.0,1
5d648d777d7dbe4bc4817642,0.0,1
5d648c8f7d7dbe4bc47e17d8,0.0,7
5d63bc0e4285a7c33189fa65,0.0015712682379349046,-1
5d63d86e4285a7c3318c54a9,0.0,14
5d63701d4285a7c3317d2ffd,0.0,1
5d648dc47d7dbe4bc4828556,0.0002244668911335578,1
5d648cd87d7dbe4bc47f26db,0.0008978675645342312,0
5d648e127d7dbe4bc48399d1,0.0,1
5d648fc37d7dbe4bc4888287,0.0004489337822671156,1
5d648fe27d7dbe4bc488d493,0.0,1
5d648fee7d7dbe4bc488f312,0.0,-1
5d648ff07d7dbe4bc488f85f,0.0004489337822671156,-1
5d648d3a7d7dbe4bc4809bfb,0.0002244668911335578,9
5d63c71f4285a7c3318ab417,0.0,14
5d648f757d7dbe4bc487a8f4,0.0,1
